zone,avg_daily_rainfall_mm,max_daily_rainfall_mm,heavy_rain_days,rainy_season_avg_mm,elevation_m,waterway_feature_count,flood_label
Ajegunle,3.7913959300249913,159.3,71,5.409866828087167,6.0,2,2
Ajeromi-Ifelodun,3.7913959300249913,159.3,71,5.409866828087167,4.0,4,2
Apapa,3.404784005712245,138.2,64,4.898123486682809,5.0,4,1
Eti-Osa (VI/Lekki axis),3.404784005712245,138.2,64,4.898123486682809,6.0,60,2
Ikorodu,3.945340949660835,123.4,78,5.797820823244552,20.0,0,1
Ipaja,4.143234559086041,90.7,78,6.037893462469734,14.0,3,2
Iwaya,3.8107461620849694,148.3,76,5.457990314769976,9.0,4,1
Ketu,3.9931810067832916,115.1,79,5.770036319612591,22.0,7,2
Lekki Phase 1,3.404784005712245,138.2,64,4.898123486682809,5.0,21,2
Makoko,3.8107461620849694,148.3,76,5.457990314769976,2.0,147,2
Mushin,3.852445555158872,137.4,79,5.45496368038741,25.0,0,2
Surulere,3.852445555158872,137.4,79,5.45496368038741,7.0,3,1
