State,Latitude,Longitude,Temperature,Humidity,Soil_Moisture,Rainfall,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Disease_Class
Ogun,5.554835,8.65802,27.66,73.4,47.46,259.64,52.6,17.15,58.42,Fungal Blight
Ogun,7.534859,6.567706,24.45,66.21,65.82,63.13,71.37,78.4,32.28,Healthy
Enugu,5.785578,5.090281,33.47,,51.71,237.36,67.05,,18.31,Healthy
Cross River,10.728663,8.797528,24.72,41.77,32.02,404.11,48.45,75.36,42.39,Healthy
Kaduna,6.356269,6.712313,35.87,75.41,49.28,194.64,90.94,71.41,34.68,Bacterial Wilt
Cross River,8.026734,5.968238,36.05,,47.35,422.98,56.73,22.18,56.0,Viral Mosaic
Ogun,12.561073,8.335832,23.54,81.77,67.64,302.24,55.53,22.86,98.13,Viral Mosaic
Kebbi,6.338847,4.532769,31.05,88.73,78.72,423.66,,77.98,21.19,Healthy
Cross River,9.070246,13.669076,21.58,80.1,38.77,352.87,92.99,74.91,43.55,Viral Mosaic
Kaduna,8.273445,12.978574,27.05,91.03,63.44,91.37,,44.02,93.88,Bacterial Wilt
Kebbi,4.663116,11.137637,32.84,58.3,,142.46,57.55,16.97,88.92,Healthy
Enugu,11.634823,4.221459,31.87,67.68,64.38,207.67,82.32,11.09,45.48,Bacterial Wilt
Kebbi,5.121413,11.922588,31.24,40.77,36.0,118.04,29.39,35.93,72.91,Bacterial Wilt
Kebbi,8.768295,12.291509,25.09,40.38,12.76,247.96,57.46,10.83,17.91,Nutrient Deficiency
Kaduna,9.546105,11.829293,26.8,53.21,,238.55,31.66,30.71,74.13,Fungal Blight
Cross River,10.155838,4.310608,21.85,45.54,52.74,432.5,78.37,47.76,97.56,Bacterial Wilt
Enugu,10.697685,10.404942,32.94,54.31,18.35,223.49,60.79,20.93,58.37,Healthy
Cross River,6.779451,,29.07,49.74,,364.25,87.04,19.38,54.86,Nutrient Deficiency
Kaduna,4.589809,9.639564,32.76,41.57,15.44,426.76,90.51,90.68,26.86,Fungal Blight
Cross River,11.010993,10.433685,24.48,90.01,75.1,400.8,68.39,62.69,67.04,Bacterial Wilt
Enugu,9.320909,8.27118,25.84,40.45,59.5,133.47,75.29,94.1,63.14,Healthy
Kaduna,12.025059,,26.02,80.48,33.08,248.41,59.43,41.12,68.67,Healthy
Enugu,11.892495,3.395334,20.46,48.37,37.35,189.1,44.6,70.94,12.35,Fungal Blight
Benue,12.089936,10.348075,26.14,90.17,61.86,209.94,68.33,28.42,59.39,Fungal Blight
Cross River,8.865852,3.936643,34.46,89.1,,194.32,91.75,65.65,63.54,Nutrient Deficiency
Ogun,,8.002668,,75.96,57.02,,47.5,21.66,28.68,Viral Mosaic
Kaduna,,6.365534,29.33,76.97,37.24,230.86,38.3,10.19,28.75,Healthy
Ogun,8.561647,9.272421,,40.29,44.15,259.48,,93.84,34.86,Healthy
,6.15098,4.534288,20.55,94.17,79.29,442.98,49.19,59.94,74.05,Viral Mosaic
Kebbi,12.194766,10.953899,35.83,,24.97,73.99,16.62,93.42,64.56,Healthy
Kaduna,12.443039,12.142633,20.23,89.23,,245.18,54.86,40.04,86.12,Fungal Blight
Benue,8.696788,4.878576,37.01,76.26,30.43,359.62,54.49,39.5,,Fungal Blight
Benue,5.181298,4.199601,28.81,58.96,63.56,110.46,62.96,46.06,92.09,Fungal Blight
Kaduna,7.990435,4.673428,26.15,89.15,63.48,294.61,42.65,,76.93,Fungal Blight
