CustomerID,Age,Gender,Tenure_Months,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complains,Satisfaction_Score,Churn
CUST00001,52,Male,67,55032,1,1,0,47462,0,4,0
CUST00002,,Female,46,51902,2,0,1,137924,0,3,0
CUST00003,38,Female,30,106468,1,0,0,79385,0,5,0
CUST00004,,Female,31,46640,1,1,1,67781,0,4,0
CUST00005,45,Male,31,137052,1,1,1,122601,0,,0
CUST00006,25,Female,72,,,1,1,63806,,4,0
CUST00007,39,Female,,83051,1,1,1,132244,0,5,0
CUST00008,46,Male,27,4666,4,1,0,64156,0,3,1
CUST00009,48,Female,53,37032,2,1,0,58416,0,3,0
CUST00010,45,Female,81,59818,1,,1,55343,0,3,0
CUST00011,47,Female,76,60567,1,0,0,174549,1,5,0
CUST00012,25,Female,27,65056,1,0,1,89208,0,4,0
CUST00013,27,Male,18,88542,2,0,1,,1,4,0
CUST00014,34,Female,45,115421,1,1,1,173655,0,3,0
CUST00015,36,Male,62,42409,2,1,0,71526,0,5,0
CUST00016,39,Male,,116,1,0,0,148404,1,2,1
CUST00017,54,Female,,114294,1,1,1,76104,0,5,0
CUST00018,34,Female,59,47521,1,,0,85278,0,3,0
CUST00019,,Male,16,24315,1,1,0,34733,1,5,0
CUST00020,36,Female,86,119056,1,1,1,137925,1,4,0
CUST00021,30,Female,20,125590,1,1,0,166722,0,4,0
CUST00022,47,Male,32,129194,2,0,0,168649,1,5,0
CUST00023,31,Male,1,26066,1,1,0,120628,0,3,1
CUST00024,38,Male,60,138113,2,1,1,74524,0,5,0
CUST00025,54,,44,62735,,0,1,168975,0,3,0
CUST00026,45,Female,70,62212,,1,0,116956,0,5,0
CUST00027,40,Female,90,50246,1,1,0,111945,0,4,0
CUST00028,44,Male,87,101955,,1,0,135641,1,3,0
CUST00029,33,Male,48,84177,1,0,0,120962,0,5,0
CUST00030,32,Female,48,,1,1,0,,0,5,0
CUST00031,,Male,28,150842,1,1,1,99073,0,3,1
CUST00032,33,Male,26,2744,4,1,1,35633,1,,1
CUST00033,40,,83,68517,1,1,1,146246,0,3,0
CUST00034,37,Female,42,23066,1,1,1,156467,0,4,0
CUST00035,30,Male,34,122055,1,1,1,154917,1,4,0
CUST00036,35,Female,,74569,1,1,1,60772,0,5,0
CUST00037,52,Female,62,,1,1,0,159947,0,4,0
CUST00038,30,Female,70,50545,2,1,1,60056,0,4,0
CUST00039,19,Male,86,28661,1,0,1,126704,0,4,0
CUST00040,30,Male,43,113004,1,0,1,82909,0,3,0
CUST00041,34,Female,12,180995,3,1,1,,1,1,1
CUST00042,49,Female,63,73569,2,1,1,110765,1,5,0
CUST00043,46,Male,17,76109,2,1,1,84569,0,3,0
CUST00044,31,Female,21,170572,1,1,0,,0,2,1
CUST00045,54,Male,3,6338,4,1,0,71227,1,1,1
CUST00046,33,Female,26,182903,1,0,0,174695,0,2,1
CUST00047,44,Female,89,48225,1,0,0,39967,1,4,0
CUST00048,31,Female,38,71709,1,1,1,108778,0,4,0
CUST00049,53,Male,45,20363,2,1,0,112027,0,4,0
CUST00050,43,Female,27,20606,2,0,1,176073,0,1,1
CUST00051,42,Female,32,46622,1,1,1,113399,,5,0
CUST00052,31,Female,74,46129,1,0,1,141674,0,5,0
CUST00053,28,Female,82,25449,,1,1,161329,0,4,0
CUST00054,41,Female,5,16516,1,1,1,157631,0,3,1
CUST00055,19,Male,38,91064,2,0,0,52294,0,5,0
CUST00056,35,Male,87,137136,2,1,1,128897,0,5,0
CUST00057,,Female,18,61859,2,1,1,,0,5,0
CUST00058,46,Male,24,62968,1,0,0,,1,,0
CUST00059,32,,1,3446,2,0,0,154887,1,1,1
CUST00060,37,Male,42,42834,1,1,0,70801,0,3,0
CUST00061,,Female,47,37594,2,0,0,164100,0,5,0
CUST00062,52,Female,49,52380,1,1,1,118603,0,3,0
CUST00063,,Female,25,,,0,0,84403,1,3,1
CUST00064,23,Male,,45835,1,1,1,33020,0,5,0
CUST00065,56,Female,64,95974,2,1,0,158610,0,5,0
CUST00066,42,Female,16,33996,2,1,1,33283,0,3,0
CUST00067,25,Female,16,119842,1,1,0,97269,1,3,0
CUST00068,47,Male,12,29621,4,1,1,65646,1,1,1
CUST00069,44,Male,21,5208,1,1,0,41511,1,1,1
CUST00070,42,Male,76,86632,1,1,1,91820,0,4,0
CUST00071,51,Female,60,27385,1,0,1,79134,0,4,0
CUST00072,23,Male,,49606,1,1,0,132880,0,,0
CUST00073,47,Female,23,183947,2,1,0,146262,1,2,1
CUST00074,44,Male,71,21675,1,1,0,143436,0,5,0
CUST00075,,Male,35,13351,1,1,0,120004,1,1,1
CUST00076,,,71,48871,1,1,,97427,0,3,0
CUST00077,34,Male,26,129581,1,1,0,86723,0,,0
CUST00078,18,Male,,,1,0,0,56209,0,4,0
CUST00079,24,Male,18,134870,1,1,0,154374,0,3,0
CUST00080,22,Male,57,64820,2,1,,176515,0,5,0
CUST00081,37,Female,91,108831,1,1,0,60855,1,5,0
CUST00082,44,Female,28,,1,0,1,74912,1,3,0
CUST00083,32,Female,50,91168,1,1,1,32948,0,4,0
CUST00084,52,Female,55,,1,,0,147311,0,5,0
CUST00085,33,Female,42,127865,1,1,0,171079,0,4,0
CUST00086,53,Male,,33676,1,1,1,140748,0,4,0
CUST00087,45,Male,60,35217,1,,,65094,0,3,0
CUST00088,33,Female,11,21675,2,0,1,62539,0,1,1
CUST00089,29,Female,59,109656,1,1,1,93302,1,3,0
CUST00090,,Female,20,159469,4,0,0,146123,1,3,1
CUST00091,43,Male,22,55550,1,,1,169197,0,3,0
CUST00092,46,Female,71,21036,1,1,1,111599,0,,0
CUST00093,20,Male,8,,1,0,1,80525,1,3,1
CUST00094,45,Male,25,2058,4,1,0,91620,0,3,1
CUST00095,29,Male,74,128466,2,1,1,84129,0,3,0
