Country,Age,Salary,Purchased
Nigeria,40,89920,No
Ghana,55,81685,No
Nigeria,46,49222,Yes
Togo,49,,Yes
Nigeria,22,66345,Yes
Togo,36,57818,Yes
Nigeria,43,63237,Yes
Togo,42,97993,Yes
Ghana,24,77470,Yes
Nigeria,20,,No
Togo,53,25949,Yes
Ghana,44,44563,No
Nigeria,46,131754,Yes
Nigeria,46,95070,Yes
Ghana,21,119418,Yes
Ghana,19,65992,No
Nigeria,42,35215,No
Nigeria,40,103601,No
Togo,20,125430,Yes
Togo,20,134095,Yes
Nigeria,23,88706,Yes
Ghana,32,84679,No
Ghana,47,25446,Yes
Ghana,58,74158,Yes
Togo,42,115252,Yes
Togo,27,65943,Yes
Nigeria,25,47500,Yes
Nigeria,36,71984,No
Nigeria,52,108604,Yes
Nigeria,,36509,No
Togo,19,100704,No
Nigeria,22,77175,Yes
Nigeria,33,71772,No
Nigeria,26,68140,No
Nigeria,46,62975,Yes
Nigeria,61,62169,No
Togo,62,91813,Yes
Nigeria,18,64179,No
Ghana,,125783,No
Ghana,54,97001,No
Ghana,22,80075,No
Ghana,25,102861,Yes
Togo,57,34908,No
Togo,18,123619,No
Ghana,23,85402,Yes
Togo,,80394,No
Nigeria,31,81534,Yes
Nigeria,,119022,Yes
Ghana,39,89446,Yes
Ghana,61,135298,Yes
Ghana,26,82072,Yes
Ghana,39,143270,Yes
Nigeria,54,45439,Yes
Togo,24,99695,Yes
Ghana,44,102656,Yes
Nigeria,25,139891,Yes
Nigeria,29,137330,No
Ghana,57,101145,No
Togo,62,84727,Yes
Nigeria,41,50530,No
Nigeria,35,126492,No
Ghana,61,114092,No
Ghana,47,,No
Togo,41,41545,Yes
Togo,49,40678,Yes
Ghana,40,114704,No
Nigeria,56,66629,No
Ghana,40,33534,No
Ghana,26,140188,No
Nigeria,40,40839,Yes
Togo,33,141214,No
Togo,20,,No
Nigeria,53,28130,No
Ghana,23,63629,Yes
Ghana,29,128069,Yes
Nigeria,33,32949,No
Ghana,55,68322,Yes
Ghana,42,87770,No
Ghana,37,92568,Yes
Nigeria,,,No
Nigeria,18,109863,Yes
Togo,20,72966,Yes
Nigeria,51,34332,No
Ghana,55,131607,No
Ghana,55,133613,Yes
Nigeria,60,59628,No
Togo,32,52618,No
Ghana,39,90783,Yes
Ghana,57,71262,No
Togo,55,54562,No
Ghana,20,54884,No
Nigeria,23,130244,Yes
Ghana,28,63033,Yes
Nigeria,34,97089,Yes
Nigeria,54,49726,No
Nigeria,18,41226,No
Ghana,28,32974,Yes
Nigeria,44,94460,Yes
Ghana,37,51976,No
Togo,36,53081,No
Nigeria,54,127429,Yes
Ghana,48,82351,Yes
Nigeria,,142179,No
Ghana,20,55183,Yes
Ghana,62,142655,No
Ghana,43,52647,Yes
Ghana,,126661,Yes
Ghana,22,56022,No
Togo,24,,Yes
Nigeria,58,66022,No
Nigeria,58,141691,No
Togo,58,89274,Yes
Nigeria,48,96878,Yes
Ghana,58,63774,No
Ghana,56,61501,No
Togo,31,132488,No
Nigeria,60,29040,No
Togo,30,58064,No
Nigeria,37,28074,No
Nigeria,53,30556,Yes
Togo,36,106014,No
Nigeria,,139639,No
Nigeria,43,62433,Yes
Nigeria,36,87294,No
Togo,21,77605,No
Togo,36,43520,Yes
Ghana,28,63105,Yes
Togo,47,53672,No
Ghana,55,137862,Yes
Nigeria,58,,No
Togo,43,126056,No
Ghana,39,49128,Yes
Nigeria,27,72392,Yes
Nigeria,53,138678,No
Ghana,40,126697,Yes
Nigeria,26,47898,No
Ghana,61,36937,Yes
Nigeria,39,128166,Yes
Togo,34,104751,No
Ghana,39,138398,No
Nigeria,22,107384,No
Nigeria,60,27927,Yes
Ghana,54,126862,No
Ghana,32,,Yes
Nigeria,29,103506,Yes
Togo,55,103572,No
Ghana,58,84124,Yes
Nigeria,32,101724,No
Nigeria,36,90667,No
Togo,20,25330,Yes
Ghana,21,,No
Ghana,41,52161,Yes
Ghana,52,142052,No
Togo,27,38969,No
Togo,25,119013,Yes
Nigeria,26,110264,Yes
Togo,56,69730,Yes
Nigeria,28,67466,Yes
Ghana,55,84428,No
Togo,37,56452,No
Nigeria,57,37170,No
Togo,48,57853,Yes
Togo,40,130585,No
Ghana,43,122537,No
Ghana,62,98298,Yes
Ghana,27,137789,Yes
Ghana,,76520,No
Togo,43,79056,Yes
Togo,45,74682,Yes
Nigeria,61,35897,Yes
Ghana,41,140192,Yes
Nigeria,,102215,Yes
Togo,45,134055,No
Ghana,32,50516,No
Togo,34,58445,No
Togo,40,61938,Yes
Nigeria,,123773,Yes
Nigeria,,27062,Yes
Nigeria,,134479,No
Togo,57,,No
Ghana,31,61761,No
Ghana,18,35708,No
Ghana,30,,Yes
Nigeria,62,52288,No
Ghana,,56574,Yes
Togo,32,,No
Togo,51,129736,No
Ghana,46,40647,Yes
Nigeria,29,142646,Yes
Togo,43,111437,Yes
Ghana,52,129242,No
Ghana,32,50521,No
Nigeria,62,48993,Yes
Nigeria,61,139933,Yes
Togo,35,106062,No
Nigeria,27,117663,No
Ghana,21,139903,No
Togo,50,100739,Yes
Nigeria,29,46088,No
Ghana,23,106091,Yes
Nigeria,46,94948,No
Ghana,,97282,Yes
Ghana,24,93990,No
Togo,61,28318,No
Nigeria,26,140283,Yes
Togo,22,125059,No
Nigeria,36,77686,No
Togo,38,121381,No
Ghana,35,143104,Yes
Ghana,,90261,Yes
Nigeria,23,,No
Nigeria,53,,Yes
Nigeria,42,137879,Yes
Togo,44,101712,No
Nigeria,54,135411,Yes
Nigeria,48,121329,Yes
Nigeria,29,,No
Nigeria,43,125561,Yes
Nigeria,55,99974,No
Ghana,62,,No
Togo,59,51514,No
Nigeria,53,,Yes
Ghana,26,44181,Yes
Nigeria,48,74249,Yes
Togo,,82410,Yes
Ghana,29,42276,No
Togo,24,127714,Yes
Togo,60,34346,Yes
Ghana,59,62682,Yes
Nigeria,46,109869,Yes
Ghana,26,54547,No
Nigeria,22,,Yes
Togo,46,54721,No
Togo,57,93701,Yes
Nigeria,20,105058,Yes
Togo,20,93970,Yes
Nigeria,27,47148,Yes
Nigeria,34,57057,Yes
Nigeria,,,No
Ghana,58,72306,No
Nigeria,48,122256,No
Ghana,35,,Yes
Ghana,59,51319,No
Ghana,26,111585,No
Nigeria,29,52833,Yes
Togo,38,116283,No
Ghana,22,70772,Yes
Nigeria,62,130061,No
Ghana,27,112038,No
Nigeria,23,66804,Yes
