customer_id,age,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,tech_support,online_security,paperless_billing,num_support_tickets,satisfaction_score,churn
1,56,11,64.64,4683.75,Month-to-month,Mailed check,Fiber optic,No,No,No,0,5,1
2,69,26,106.42,4521.54,One year,Electronic check,DSL,Yes,No,Yes,1,2,0
3,46,63,75.81,931.55,Month-to-month,Bank transfer,Fiber optic,No,No,No,1,1,1
4,32,59,73.99,1422.14,Month-to-month,Mailed check,DSL,No,Yes,No,1,2,1
5,60,27,23.42,7779.0,Two year,Credit card,DSL,No,Yes,No,1,3,0
6,25,49,118.67,1905.05,Two year,Mailed check,No,No,No,Yes,3,1,0
7,78,33,32.3,7821.87,Two year,Bank transfer,Fiber optic,Yes,No,No,5,1,0
8,38,1,43.11,4302.11,Month-to-month,Credit card,DSL,No,No,No,3,5,1
9,56,21,25.17,1172.73,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,2,3,1
10,75,55,84.0,884.49,Month-to-month,Electronic check,DSL,No,No,Yes,1,5,0
11,36,6,42.47,1750.03,Month-to-month,Credit card,No,No,No,Yes,1,4,1
12,40,69,38.0,7412.53,Month-to-month,Bank transfer,DSL,No,Yes,No,4,2,1
13,28,5,28.86,3371.79,Month-to-month,Credit card,DSL,No,No,Yes,2,2,1
14,28,3,30.33,3223.93,Two year,Bank transfer,Fiber optic,No,No,Yes,3,5,0
15,41,53,78.47,2574.33,One year,Credit card,Fiber optic,No,Yes,No,1,2,0
16,70,23,88.82,1261.79,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,1,2,1
17,53,53,59.74,3954.02,Month-to-month,Electronic check,DSL,No,No,Yes,2,4,1
18,57,37,67.99,1127.38,Month-to-month,Credit card,DSL,Yes,No,Yes,1,3,1
19,41,17,88.6,6700.29,Month-to-month,Credit card,Fiber optic,No,No,No,2,1,1
20,20,1,21.74,3026.14,Two year,Credit card,DSL,No,No,Yes,5,5,1
21,39,51,52.31,3060.95,Month-to-month,Credit card,No,Yes,Yes,No,1,5,0
22,70,45,117.31,3844.65,Month-to-month,Electronic check,DSL,No,No,Yes,3,4,1
23,19,4,78.01,3608.61,Month-to-month,Credit card,Fiber optic,Yes,No,Yes,1,4,1
24,41,62,45.42,7959.38,Month-to-month,Mailed check,Fiber optic,No,No,No,3,1,1
25,61,65,72.17,4408.51,One year,Electronic check,DSL,Yes,No,Yes,3,3,0
26,47,32,54.27,796.79,One year,Mailed check,Fiber optic,No,Yes,No,3,5,0
27,55,34,73.22,4894.33,One year,Credit card,No,Yes,Yes,Yes,3,4,0
28,19,39,32.57,1297.52,Month-to-month,Bank transfer,DSL,No,No,Yes,3,5,0
29,77,26,33.27,344.41,One year,Mailed check,No,No,Yes,Yes,4,2,1
30,38,34,34.35,7768.86,One year,Credit card,Fiber optic,No,No,Yes,0,5,0
31,50,54,113.98,6210.96,Two year,Mailed check,DSL,No,No,No,3,3,0
32,29,3,93.29,7842.86,Month-to-month,Credit card,Fiber optic,No,No,No,2,3,1
33,75,50,36.24,3875.24,Month-to-month,Credit card,DSL,Yes,Yes,Yes,0,5,0
34,39,12,38.83,4304.83,One year,Credit card,Fiber optic,Yes,No,Yes,5,2,0
35,78,65,93.08,1429.86,One year,Bank transfer,Fiber optic,No,No,No,3,3,0
36,61,54,35.62,2050.57,Month-to-month,Mailed check,No,No,Yes,Yes,2,4,0
37,42,5,43.46,6724.54,Month-to-month,Electronic check,No,Yes,Yes,Yes,1,5,0
38,66,57,116.33,2913.87,Month-to-month,Electronic check,Fiber optic,No,Yes,No,3,2,1
39,44,17,45.53,6631.84,Two year,Electronic check,Fiber optic,Yes,No,No,0,4,0
40,76,47,86.16,5701.21,Month-to-month,Electronic check,DSL,Yes,Yes,No,0,5,0
41,59,23,117.86,1499.65,Two year,Credit card,Fiber optic,No,No,No,1,2,0
42,45,14,57.43,4108.83,Month-to-month,Mailed check,DSL,No,No,No,1,4,1
43,77,66,21.75,5451.36,Two year,Mailed check,Fiber optic,No,No,Yes,2,3,0
44,33,51,44.41,1956.79,Two year,Bank transfer,Fiber optic,No,Yes,Yes,3,5,0
45,32,38,103.09,6662.44,Month-to-month,Mailed check,DSL,No,No,Yes,2,5,0
46,79,64,106.46,4404.14,Two year,Mailed check,DSL,No,Yes,No,3,3,0
47,79,38,96.85,1405.41,Month-to-month,Mailed check,Fiber optic,Yes,No,No,3,1,1
48,64,50,31.31,4705.58,Two year,Bank transfer,Fiber optic,Yes,No,No,3,4,0
49,79,30,99.55,7997.74,One year,Electronic check,Fiber optic,No,No,No,3,3,0
50,68,51,111.87,1289.12,Month-to-month,Mailed check,Fiber optic,No,No,No,4,5,1
51,61,63,80.06,6552.38,One year,Bank transfer,Fiber optic,No,Yes,No,3,4,0
52,72,52,114.09,1737.74,Two year,Bank transfer,Fiber optic,Yes,No,Yes,2,4,0
53,69,38,102.68,6280.87,Month-to-month,Credit card,DSL,Yes,No,No,0,1,1
54,74,30,86.7,5903.17,One year,Bank transfer,DSL,No,Yes,Yes,4,5,0
55,20,51,77.72,2473.87,One year,Electronic check,Fiber optic,Yes,No,Yes,5,2,0
56,54,5,54.86,2674.0,Two year,Mailed check,Fiber optic,No,No,No,4,1,1
57,68,29,35.93,6360.92,Month-to-month,Bank transfer,DSL,Yes,No,No,1,1,1
58,24,4,80.5,3745.42,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,0,2,1
59,38,10,51.81,5873.46,Month-to-month,Bank transfer,DSL,No,No,Yes,2,2,1
60,26,56,106.64,1269.07,One year,Bank transfer,Fiber optic,No,No,No,4,1,0
61,56,17,119.33,6835.21,Month-to-month,Bank transfer,Fiber optic,No,No,No,1,4,1
62,35,17,95.24,5715.99,Two year,Bank transfer,Fiber optic,Yes,No,No,0,3,0
63,21,69,29.05,7264.85,Month-to-month,Bank transfer,No,No,Yes,Yes,1,3,0
64,42,34,48.87,1145.74,One year,Electronic check,DSL,Yes,Yes,Yes,4,1,0
65,77,6,30.91,4784.81,Month-to-month,Mailed check,No,No,No,Yes,2,4,1
66,31,53,85.05,4833.05,Month-to-month,Mailed check,Fiber optic,No,No,Yes,0,2,1
67,67,66,96.52,2892.34,Month-to-month,Mailed check,Fiber optic,Yes,No,Yes,3,1,0
68,75,43,112.57,3721.88,Month-to-month,Mailed check,Fiber optic,No,Yes,No,2,5,1
69,26,23,63.82,400.05,One year,Electronic check,Fiber optic,Yes,Yes,Yes,6,4,0
70,43,55,110.14,5992.29,Two year,Credit card,Fiber optic,No,No,Yes,2,5,0
71,70,16,107.79,4439.65,One year,Credit card,Fiber optic,No,No,Yes,2,5,0
72,19,8,51.72,556.15,Two year,Electronic check,DSL,No,Yes,Yes,4,1,1
73,37,4,106.89,5477.97,Two year,Electronic check,DSL,Yes,No,No,3,4,0
74,45,4,57.57,3787.58,One year,Bank transfer,Fiber optic,No,No,No,1,5,0
75,64,56,49.69,372.24,Two year,Bank transfer,DSL,No,No,No,2,4,0
76,77,25,84.91,7759.9,One year,Bank transfer,Fiber optic,No,No,Yes,2,3,0
77,24,67,52.84,7597.99,Month-to-month,Mailed check,DSL,No,Yes,Yes,3,5,0
78,61,67,83.02,4151.93,One year,Bank transfer,Fiber optic,Yes,No,Yes,2,5,0
79,78,27,80.98,840.01,Month-to-month,Credit card,No,No,No,Yes,1,4,1
80,25,32,76.34,6061.51,One year,Mailed check,No,Yes,Yes,No,0,3,0
81,64,50,58.04,3986.26,One year,Bank transfer,Fiber optic,Yes,No,Yes,2,5,0
82,52,61,74.85,2489.34,Month-to-month,Mailed check,Fiber optic,No,No,No,2,1,1
83,31,51,79.65,3982.2,Month-to-month,Credit card,No,No,No,Yes,1,4,0
84,34,19,74.57,4227.31,Two year,Bank transfer,Fiber optic,No,No,No,1,4,0
85,53,21,64.44,4545.42,One year,Credit card,DSL,No,Yes,No,0,5,0
86,67,5,21.47,3585.67,Month-to-month,Credit card,No,No,No,No,4,3,1
87,57,42,78.71,4885.47,One year,Credit card,Fiber optic,No,Yes,Yes,1,5,0
88,21,61,36.84,7358.0,One year,Bank transfer,Fiber optic,No,No,No,0,2,0
89,19,22,84.26,2961.92,Month-to-month,Electronic check,DSL,Yes,No,No,1,5,0
90,79,21,95.93,5833.16,Two year,Bank transfer,DSL,No,No,Yes,1,2,0
91,23,70,70.04,7166.18,One year,Credit card,No,Yes,No,Yes,2,1,0
92,71,1,74.24,3702.24,Month-to-month,Bank transfer,Fiber optic,No,No,No,3,4,1
93,59,5,115.15,3603.3,Two year,Credit card,DSL,No,Yes,No,3,4,0
94,21,12,104.72,4856.72,Two year,Electronic check,DSL,No,No,Yes,2,3,0
95,71,46,111.42,4772.11,Month-to-month,Mailed check,Fiber optic,No,No,Yes,3,5,0
96,46,34,101.38,6472.06,Month-to-month,Electronic check,Fiber optic,Yes,No,No,3,1,1
97,35,49,30.89,3864.22,Month-to-month,Electronic check,DSL,No,No,Yes,3,2,1
98,43,45,34.9,7969.37,One year,Mailed check,No,Yes,No,Yes,2,3,0
99,61,27,72.66,569.83,One year,Bank transfer,DSL,No,Yes,Yes,2,1,0
100,51,26,44.61,125.03,One year,Mailed check,Fiber optic,No,No,No,1,1,0
101,27,47,67.67,5157.57,Two year,Bank transfer,Fiber optic,No,Yes,Yes,3,2,0
102,79,56,59.44,2457.64,One year,Bank transfer,DSL,Yes,No,No,2,2,0
103,53,63,74.94,1999.02,Month-to-month,Credit card,No,Yes,Yes,Yes,2,4,0
