Disease_Class,Geopolitical_Zone,Eco_Zone,Soil_Type,Rainfall_mm,Temperature_C,Relative_Humidity_Pct,Nitrogen_Level_ppm,Phosphorus_Level_ppm,Potassium_Level_ppm,Insect_Vector_Count,Leaf_Symptom_Severity
Fungal_Blight,South_South,Humid_Forest,Lateritic,1800.0,30.8,91.8,90.0,45.0,180.0,8,4
Healthy,North_West,Derived_Savanna,Alluvial,1571.0,32.0,65.4,93.6,38.0,115.8,0,1
Fungal_Blight,South_East,Humid_Forest,Clay_Loam,2422.7,34.2,82.2,90.0,45.0,180.0,4,5
Healthy,South_West,Derived_Savanna,Sandy_Loam,1110.5,24.1,51.2,62.0,40.2,163.8,1,1
Viral_Mosaic,South_West,Derived_Savanna,Clay_Loam,1165.9,30.1,59.3,100.0,55.0,220.0,25,3
Viral_Mosaic,South_West,Southern_Guinea_Savanna,Clay_Loam,818.6,32.1,60.7,100.0,55.0,220.0,20,3
Nutrient_Deficiency,North_East,Southern_Guinea_Savanna,Sandy_Loam,845.0,34.1,66.6,18.6,11.7,69.3,0,2
Healthy,North_West,Southern_Guinea_Savanna,Sandy_Loam,1268.1,28.2,54.6,76.8,39.2,156.8,2,1
Viral_Mosaic,North_Central,Derived_Savanna,Alluvial,1216.0,31.5,68.2,100.0,55.0,220.0,26,3
Bacterial_Wilt,North_East,Derived_Savanna,Clay_Loam,853.9,32.8,77.1,100.0,55.0,220.0,8,4
Healthy,North_East,Derived_Savanna,Alluvial,998.5,28.9,58.8,96.2,43.8,171.8,0,1
Bacterial_Wilt,North_Central,Sudan_Savanna,Clay_Loam,1412.4,37.0,76.6,100.0,55.0,220.0,5,4
Viral_Mosaic,North_Central,Humid_Forest,Alluvial,662.8,31.3,70.3,100.0,55.0,220.0,29,4
Nutrient_Deficiency,North_West,Southern_Guinea_Savanna,Lateritic,982.4,29.2,62.8,13.6,9.2,47.8,0,2
Bacterial_Wilt,North_East,Derived_Savanna,Clay_Loam,1473.8,32.3,58.4,100.0,55.0,220.0,9,4
Viral_Mosaic,North_Central,Southern_Guinea_Savanna,Alluvial,1690.7,25.7,67.9,100.0,55.0,220.0,25,2
Fungal_Blight,South_West,Humid_Forest,Clay_Loam,2402.4,29.4,86.8,90.0,45.0,180.0,7,3
Nutrient_Deficiency,South_East,Sudan_Savanna,Lateritic,838.5,32.6,48.1,13.7,10.3,45.7,2,4
Fungal_Blight,South_East,Derived_Savanna,Lateritic,2024.6,28.1,88.3,90.0,45.0,180.0,7,3
Viral_Mosaic,South_West,Derived_Savanna,Alluvial,720.7,30.7,64.7,100.0,55.0,220.0,36,3
Healthy,South_West,Derived_Savanna,Clay_Loam,1250.3,29.6,71.0,69.8,34.8,156.5,0,1
Fungal_Blight,South_East,Derived_Savanna,Alluvial,1800.0,28.0,86.4,90.0,45.0,180.0,9,4
Bacterial_Wilt,North_Central,Derived_Savanna,Clay_Loam,909.6,31.9,70.0,100.0,55.0,220.0,4,4
Bacterial_Wilt,South_South,Derived_Savanna,Alluvial,933.8,30.0,71.9,100.0,55.0,220.0,2,4
Nutrient_Deficiency,South_East,Southern_Guinea_Savanna,Lateritic,951.7,33.2,63.1,18.8,15.0,55.8,0,3
Nutrient_Deficiency,South_West,Sudan_Savanna,Lateritic,793.8,30.2,40.0,23.9,12.6,36.2,1,4
Fungal_Blight,South_West,Humid_Forest,Lateritic,2534.9,29.2,80.0,90.0,45.0,180.0,7,4
