match_id,home_team,away_team,home_form_5g,away_form_5g,home_xg,away_xg,home_xga,away_xga,home_xt,away_xt,home_sot,away_sot,home_attack_strength,away_attack_strength,home_defense_strength,away_defense_strength,match_importance_home,match_importance_away,home_venue_advantage,rest_days_home,rest_days_away,travel_distance_away_km,h2h_home_win_ratio,missing_key_players_home,missing_key_players_away,referee_card_rate,weather_condition,kickoff_time_uk,home_goals,away_goals,result
M0001,Brentford,Watford,1.95,0.62,1.73,0.88,1.46,2.2,0.53,0.31,5,2,1.14,0.75,1.03,0.75,High,High,1,7,6,554,0.36,1,3,3.2,Windy,19:45,2,0,2
M0002,Sheffield Utd,Crystal Palace,1.28,2.05,1.28,1.62,1.94,1.73,0.46,0.58,4,5,0.75,0.98,0.75,0.88,High,Low,1,7,3,401,0.4,0,2,2.2,Rainy,16:30,1,1,1
M0003,Sheffield Utd,Fulham,0.77,2.26,1.0,1.18,2.08,1.29,0.23,0.36,3,4,0.75,1.12,0.75,1.08,High,Medium,1,5,5,282,0.61,3,4,2.6,Windy,12:30,0,2,0
M0004,Stoke City,Southampton,1.33,1.21,1.71,0.66,1.74,2.06,0.53,0.22,5,3,0.9,0.75,0.88,0.75,High,Medium,1,7,3,427,0.6,1,3,2.4,Foggy,12:30,2,1,2
M0005,Luton Town,West Ham,2.27,1.63,1.36,1.1,1.07,1.69,0.41,0.37,4,4,0.95,0.97,0.95,0.84,Medium,Low,1,5,7,599,0.42,4,3,3.0,Rainy,15:00,3,2,2
M0006,Chelsea,Arsenal,2.96,2.39,1.92,1.59,1.02,1.17,0.67,0.39,6,5,1.3,1.09,1.34,0.99,Low,Low,1,4,7,42,0.42,3,3,2.2,Foggy,14:00,2,0,2
M0007,Leicester City,Stoke City,2.05,0.95,1.31,0.99,1.4,1.95,0.41,0.27,4,4,1.0,0.75,0.97,0.75,Low,Medium,1,5,3,345,0.55,2,1,1.9,Clear,16:30,1,0,2
M0008,Liverpool,Watford,1.86,1.67,1.71,1.44,1.24,1.44,0.56,0.4,5,4,1.18,1.06,1.14,0.92,Medium,Medium,1,3,5,143,0.33,0,4,2.9,Foggy,15:00,0,1,0
M0009,Burnley,Wolverhampton,1.46,2.22,0.92,1.62,1.76,1.09,0.21,0.57,3,4,0.75,1.25,0.81,1.03,Low,Low,1,3,3,46,0.56,3,0,2.3,Foggy,19:45,1,2,0
M0010,Luton Town,Tottenham,1.4,2.16,0.95,1.93,1.94,0.96,0.27,0.72,3,6,0.75,1.33,0.76,1.37,Low,Medium,1,4,4,149,0.27,2,4,1.5,Rainy,16:30,1,3,0
