CustomerID,Age,Gender,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
349df5e3-6023-42aa-aa1c-994ee1150fe1,26,Female,3,183531.7302,2,0,1,39466.46416,0
df4892b2-4922-4469-9e30-21327ee5a747,35,Male,1,48129.41355,1,1,0,125134.3274,0
26356261-1475-4fe3-a168-3a26588658ad,28,Female,6,69845.04978,1,0,0,139058.5473,0
edb9a42d-8418-490f-8a5b-6d19d9b26a10,28,Male,4,69612.56079,2,0,0,119424.517,0
df8ff389-022d-4d08-8c91-b2e17ba7ffc6,30,Male,6,65124.0636,2,1,1,112798.1887,0
6ce9c6e2-ee9c-44b2-b3cc-a26ef7908a21,57,Female,8,69669.27954,2,1,0,52421.15322,0
a56eb49d-920e-4345-bdfc-3a982835da80,69,Female,2,204762.9099,2,1,1,12266.43904,0
4f3308c9-6082-4297-8023-a71712d35e4f,27,Female,9,243061.4086,2,0,1,103295.5949,0
4b93fa5a-29b2-4dcb-a27b-a7abfcce50f6,69,Male,3,21630.69448,1,1,1,62134.30842,0
b6a80149-e8bb-49a7-be8c-91300d3a006d,25,Male,2,34659.2173,1,0,1,108709.0262,0
31c6ba5c-0289-4bee-8790-da67bc3d3565,55,Female,6,96202.61279,1,1,0,85057.19531,0
9b424975-6bc7-47d9-8d69-4a65b72ea158,42,Male,5,28149.74774,2,1,1,19210.27711,0
1c79754d-44ce-4f68-aad4-6e2baeee772c,43,Male,5,235248.4942,1,1,0,15662.86799,0
4f57deed-c36d-46f1-b61f-a10f9adcff91,36,Male,5,10946.86193,3,0,1,139719.1307,0
01877278-9df0-425b-83dc-6f59d8ed8293,40,Female,5,203999.9103,2,0,1,116829.4122,0
0878e7a3-8319-4b26-9fbd-4072b64bc319,20,Female,7,81865.76225,3,1,1,108824.6473,0
73b1738d-6262-4e66-a3e1-2d1ebbadfd4f,59,Female,0,97802.64389,3,1,1,114110.4847,0
0e9f14a6-b009-4b05-994e-6d8cc0b5a764,19,Male,6,52255.99943,2,0,1,59551.69109,0
d5aa369f-1ff2-4dad-9d87-6c713a8ac3ac,31,Female,6,58743.65975,2,1,1,88907.19083,0
b1825dc1-a347-4494-a8dc-7ca5eadec54b,27,Male,4,1835.604719,3,1,1,125322.6523,1
5b397332-cb59-4ff8-8b52-2659ded60ac4,50,Male,0,225084.9426,3,0,0,16952.48204,1
4fc90da4-8ed2-41ca-9962-5894144d7aa1,68,Female,8,124188.1548,2,1,1,136373.1929,0
eed9e544-3d7b-47a3-9e55-327df372990f,60,Male,7,83526.18256,2,1,1,30782.67468,0
e619c3dd-dd5c-4a87-b242-8fb469dc7102,23,Female,9,220960.9259,1,0,0,11689.12581,0
9527a8fe-3ab0-44c9-bad7-5f8c5d30d584,29,Male,6,6836.392883,2,1,0,128159.4339,1
aa9ccadf-834e-43b2-916d-d9a9d4a27a87,52,Female,0,13337.38893,3,1,1,84368.21986,1
9c692db2-6695-489a-9397-d950587c52a4,41,Male,1,32573.62681,3,1,0,87527.31471,0
d37a5e5f-4984-4ee9-aea0-94dd60901a11,23,Male,3,178335.4846,3,0,0,123469.1782,0
43e7274b-dd57-4985-b101-43499880200d,66,Female,3,63874.31801,3,1,1,42533.57769,0
1eea5b46-cb57-4b8e-a2bb-641029ce99f0,39,Male,2,111161.1932,2,1,1,57299.80023,0
0c1bc26f-b2e1-4e62-87cd-38ad42c7d362,18,Male,2,158114.1453,1,0,0,57133.65724,0
dc8f8a8c-913b-4031-9754-8675f48e0a70,37,Male,9,183202.0645,1,0,1,136843.0018,0
adf34e39-0225-47f2-82d0-68ec7e19f674,19,Male,5,147794.2294,3,1,0,93211.58721,0
d5fb478b-ea36-418f-bd6a-ebc8a9ba4326,21,Female,3,80303.56122,3,0,1,17179.42375,0
f0914bae-55d2-49aa-8778-f3fa23aa4cc4,32,Female,5,28144.96809,3,1,0,100397.0182,0
8a6d7c7d-c038-46ab-af53-d166dba50e97,19,Female,4,104324.8703,1,0,0,70525.77144,0
